Month,Work Type,Year," Weighted averages of Construction Producer Price Indices",month Int,Date,Geographical Region,Unique_Key
August,Repair and Maintenance,2020,112.3,08,01/08/2020,United Kingdom,AugustRepair and Maintenance2020112.30801/08/2020United Kingdom
August,Repair and Maintenance,2021,141.4,08,01/08/2021,United Kingdom,AugustRepair and Maintenance2021141.40801/08/2021United Kingdom
September,Repair and Maintenance,2016,101.2,09,01/09/2016,United Kingdom,SeptemberRepair and Maintenance2016101.20901/09/2016United Kingdom
September,Repair and Maintenance,2017,106.5,09,01/09/2017,United Kingdom,SeptemberRepair and Maintenance2017106.50901/09/2017United Kingdom
September,Repair and Maintenance,2018,112.9,09,01/09/2018,United Kingdom,SeptemberRepair and Maintenance2018112.90901/09/2018United Kingdom
September,Repair and Maintenance,2019,113.4,09,01/09/2019,United Kingdom,SeptemberRepair and Maintenance2019113.40901/09/2019United Kingdom
September,Repair and Maintenance,2020,112.9,09,01/09/2020,United Kingdom,SeptemberRepair and Maintenance2020112.90901/09/2020United Kingdom
September,Repair and Maintenance,2021,,09,01/09/2021,United Kingdom,SeptemberRepair and Maintenance20210901/09/2021United Kingdom
October,Repair and Maintenance,2016,101.1,10,01/10/2016,United Kingdom,OctoberRepair and Maintenance2016101.11001/10/2016United Kingdom
October,Repair and Maintenance,2017,107,10,01/10/2017,United Kingdom,OctoberRepair and Maintenance20171071001/10/2017United Kingdom
October,Repair and Maintenance,2018,112.9,10,01/10/2018,United Kingdom,OctoberRepair and Maintenance2018112.91001/10/2018United Kingdom
October,Repair and Maintenance,2019,113.4,10,01/10/2019,United Kingdom,OctoberRepair and Maintenance2019113.41001/10/2019United Kingdom
October,Repair and Maintenance,2020,113.4,10,01/10/2020,United Kingdom,OctoberRepair and Maintenance2020113.41001/10/2020United Kingdom
October,Repair and Maintenance,2021,,10,01/10/2021,United Kingdom,OctoberRepair and Maintenance20211001/10/2021United Kingdom
November,Repair and Maintenance,2016,101.9,11,01/11/2016,United Kingdom,NovemberRepair and Maintenance2016101.91101/11/2016United Kingdom
