Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Year,Current Prices (£'000),Date,Geographical Region,Type,Unique_Key
" Products & Components",Wood sleepers (rail & tram),Exports,2018,564,01/01/2018,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Exports,2019,332,01/01/2019,United Kingdom,External Trade,
" Products & Components",Wood sleepers (rail & tram),Exports,2020,1232,01/01/2020,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Imports,2015,189561,01/01/2015,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Imports,2016,202159,01/01/2016,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Imports,2017,227589,01/01/2017,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Imports,2018,214407,01/01/2018,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Imports,2019,238954,01/01/2019,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Imports,2020,189267,01/01/2020,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Exports,2015,22639,01/01/2015,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Exports,2016,8911,01/01/2016,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Exports,2017,10738,01/01/2017,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Exports,2018,10152,01/01/2018,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Exports,2019,14148,01/01/2019,United Kingdom,External Trade,
" Products & Components",Building Stone : processed,Exports,2020,12136,01/01/2020,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Imports,2015,"              :",01/01/2015,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Imports,2016,"              :",01/01/2016,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Imports,2017,"              :",01/01/2017,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Imports,2018,"              :",01/01/2018,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Imports,2019,"              :",01/01/2019,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Imports,2020,"              :",01/01/2020,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Exports,2015,"              :",01/01/2015,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Exports,2016,"              :",01/01/2016,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Exports,2017,"              :",01/01/2017,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Exports,2018,"              :",01/01/2018,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Exports,2019,"              :",01/01/2019,United Kingdom,External Trade,
" Products & Components",Slate Roofing Tiles*,Exports,2020,"              :",01/01/2020,United Kingdom,External Trade,
" Products & Components",Other Slate Products*,Imports,2015,"              :",01/01/2015,United Kingdom,External Trade,
" Products & Components",Other Slate Products*,Imports,2016,"              :",01/01/2016,United Kingdom,External Trade,
