Date,Building Materials & Components Type,Materials & Components Sub-Type,Imports/Exports,Current Prices (£'000),Geographical Region,Type
01/01/2020," Products & Components",Portland Cement,Imports,112042,United Kingdom,External Trade
01/01/2015," Products & Components",Portland Cement,Exports,6321,United Kingdom,External Trade
01/01/2016," Products & Components",Portland Cement,Exports,7226,United Kingdom,External Trade
01/01/2017," Products & Components",Portland Cement,Exports,10963,United Kingdom,External Trade
01/01/2018," Products & Components",Portland Cement,Exports,13776,United Kingdom,External Trade
01/01/2019," Products & Components",Portland Cement,Exports,13390,United Kingdom,External Trade
01/01/2020," Products & Components",Portland Cement,Exports,9616,United Kingdom,External Trade
01/01/2015," Products & Components",Other Cements,Imports,60734,United Kingdom,External Trade
01/01/2016," Products & Components",Other Cements,Imports,61573,United Kingdom,External Trade
01/01/2017," Products & Components",Other Cements,Imports,62630,United Kingdom,External Trade
01/01/2018," Products & Components",Other Cements,Imports,71723,United Kingdom,External Trade
01/01/2019," Products & Components",Other Cements,Imports,87441,United Kingdom,External Trade
01/01/2020," Products & Components",Other Cements,Imports,78881,United Kingdom,External Trade
01/01/2015," Products & Components",Other Cements,Exports,32071,United Kingdom,External Trade
