Date,Building Materials & Components Type," Materials & Components Sub-Type",Imports/Exports,Current Prices (Â£'000),Geographical Region,Type,Unique_Key
01/01/2018," Semi-Manufactures",Fibreboard,Exports,8883,United Kingdom,External Trade,01/01/2018Semi-ManufacturesFibreboardExports8883United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Fibreboard,Exports,8380,United Kingdom,External Trade,01/01/2019Semi-ManufacturesFibreboardExports8380United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Fibreboard,Exports,8727,United Kingdom,External Trade,01/01/2020Semi-ManufacturesFibreboardExports8727United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Steel for Fabrication,Imports,313745,United Kingdom,External Trade,01/01/2015Semi-ManufacturesSteel for FabricationImports313745United KingdomExternal Trade
01/01/2016," Semi-Manufactures",Steel for Fabrication,Imports,312919,United Kingdom,External Trade,01/01/2016Semi-ManufacturesSteel for FabricationImports312919United KingdomExternal Trade
01/01/2017," Semi-Manufactures",Steel for Fabrication,Imports,378863,United Kingdom,External Trade,01/01/2017Semi-ManufacturesSteel for FabricationImports378863United KingdomExternal Trade
01/01/2018," Semi-Manufactures",Steel for Fabrication,Imports,434401,United Kingdom,External Trade,01/01/2018Semi-ManufacturesSteel for FabricationImports434401United KingdomExternal Trade
01/01/2019," Semi-Manufactures",Steel for Fabrication,Imports,413562,United Kingdom,External Trade,01/01/2019Semi-ManufacturesSteel for FabricationImports413562United KingdomExternal Trade
01/01/2020," Semi-Manufactures",Steel for Fabrication,Imports,238691,United Kingdom,External Trade,01/01/2020Semi-ManufacturesSteel for FabricationImports238691United KingdomExternal Trade
01/01/2015," Semi-Manufactures",Steel for Fabrication,Exports,174995,United Kingdom,External Trade,01/01/2015Semi-ManufacturesSteel for FabricationExports174995United KingdomExternal Trade
